layer_id,layer,label,group,label_long,binary
0,401,household-member,household,household-member: household-member,1
1,402,household-institutional-member,household,household-institutional-member: household-institutional-member,2
2,501,schoolmate-primary,school,schoolmate-primary: schoolmate-primary,4
3,502,schoolmate-special,school,schoolmate-special: schoolmate-special,8
4,503,schoolmate-vo,school,schoolmate-vo: schoolmate-vo,16
5,504,schoolmate-mbo,school,schoolmate-mbo: schoolmate-mbo,32
6,505,schoolmate-hbo,school,schoolmate-hbo: schoolmate-hbo,64
7,506,schoolmate-wo,school,schoolmate-wo: schoolmate-wo,128
8,101,neighbor-next-door,neighbor,neighbor-next-door: neighbor-next-door,256
9,102,neighbor-neighborhood,neighbor,neighbor-neighborhood: neighbor-neighborhood,512
10,201,colleauge,colleauge,colleauge: colleauge,1024
11,301,parent,family,parent: parent,2048
12,302,co-parent,family,co-parent: co-parent,4096
13,303,grandparent,family,grandparent: grandparent,8192
14,304,child,family,child: child,16384
15,305,grandchild,family,grandchild: grandchild,32768
16,306,sibling-full,family,sibling-full: sibling-full,65536
17,307,sibling-half,family,sibling-half: sibling-half,131072
18,308,sibling-unknown,family,sibling-unknown: sibling-unknown,262144
19,309,cousin,family,cousin: cousin,524288
20,310,niece/nephew,family,niece/nephew: niece/nephew,1048576
21,311,aunt/uncle,family,aunt/uncle: aunt/uncle,2097152
22,312,partner-married,family,partner-married: partner-married,4194304
23,313,partner-not-married,family,partner-not-married: partner-not-married,8388608
24,314,parent-in-law,family,parent-in-law: parent-in-law,16777216
25,315,child-in-law,family,child-in-law: child-in-law,33554432
26,316,sibling-in-law,family,sibling-in-law: sibling-in-law,67108864
27,317,stepparent,family,stepparent: stepparent,134217728
28,318,stepchild,family,stepchild: stepchild,268435456
29,319,stepsibling,family,stepsibling: stepsibling,536870912
30,320,cousin-by-partnership,family,cousin-by-partnership: cousin-by-partnership,1073741824
31,321,niece/nephew-by-partnership,family,niece/nephew-by-partnership: niece/nephew-by-partnership,2147483648
32,322,aunt/uncle-by-partnership,family,aunt/uncle-by-partnership: aunt/uncle-by-partnership,4294967296
